START,-1,-90
LINE,219.988055813794,-90
LINE,220.488055813794,-90
LINE,221.078294697518,-89.99998424
LINE,221.668533581242,-89.99987584
LINE,222.258772464966,-89.99958744
LINE,222.849011348691,-89.99903744
LINE,223.439250232415,-89.99815
LINE,224.029489116139,-89.99685504
LINE,224.619727999863,-89.99508824
LINE,225.209966883587,-89.99279104
LINE,225.800205767311,-89.98991064
LINE,226.390444651035,-89.9864
LINE,226.980683534759,-89.98221784
LINE,227.570922418484,-89.97732864
LINE,228.161161302208,-89.97170264
LINE,228.751400185932,-89.96531584
LINE,229.341639069656,-89.95815
LINE,229.93187795338,-89.95019264
LINE,230.522116837104,-89.94143704
LINE,231.112355720828,-89.93188224
LINE,231.702594604552,-89.92153304
LINE,232.292833488276,-89.9104
LINE,232.883072372001,-89.89849944
LINE,233.473311255725,-89.88585344
LINE,234.063550139449,-89.87248984
LINE,234.653789023173,-89.85844224
LINE,235.244027906897,-89.84375
LINE,235.834266790621,-89.82845824
LINE,236.424505674345,-89.81261784
LINE,237.014744558069,-89.79628544
LINE,237.604983441794,-89.77952344
LINE,238.195222325518,-89.7624
LINE,238.785461209242,-89.74498904
LINE,239.375700092966,-89.72737024
LINE,239.96593897669,-89.70962904
LINE,240.556177860414,-89.69185664
LINE,241.146416744138,-89.67415
LINE,241.736655627862,-89.65661184
LINE,242.326894511586,-89.63935064
LINE,242.917133395311,-89.62248064
LINE,243.507372279035,-89.60612184
LINE,244.097611162759,-89.5904
LINE,244.687850046483,-89.57544664
LINE,245.278088930207,-89.56139904
LINE,245.868327813931,-89.54840024
LINE,246.458566697655,-89.53659904
LINE,247.048805581379,-89.52615
LINE,247.639044465104,-89.51721344
LINE,248.229283348828,-89.50995544
LINE,248.819522232552,-89.50454784
LINE,249.409761116276,-89.50116824
LINE,250,-89.5
LINE,250.590238883724,-89.50116824
LINE,251.180477767448,-89.50454784
LINE,251.770716651172,-89.50995544
LINE,252.360955534896,-89.51721344
LINE,252.951194418621,-89.52615
LINE,253.541433302345,-89.53659904
LINE,254.131672186069,-89.54840024
LINE,254.721911069793,-89.56139904
LINE,255.312149953517,-89.57544664
LINE,255.902388837241,-89.5904
LINE,256.492627720965,-89.60612184
LINE,257.082866604689,-89.62248064
LINE,257.673105488414,-89.63935064
LINE,258.263344372138,-89.65661184
LINE,258.853583255862,-89.67415
LINE,259.443822139586,-89.69185664
LINE,260.03406102331,-89.70962904
LINE,260.624299907034,-89.72737024
LINE,261.214538790758,-89.74498904
LINE,261.804777674482,-89.7624
LINE,262.395016558206,-89.77952344
LINE,262.985255441931,-89.79628544
LINE,263.575494325655,-89.81261784
LINE,264.165733209379,-89.82845824
LINE,264.755972093103,-89.84375
LINE,265.346210976827,-89.85844224
LINE,265.936449860551,-89.87248984
LINE,266.526688744275,-89.88585344
LINE,267.116927627999,-89.89849944
LINE,267.707166511724,-89.9104
LINE,268.297405395448,-89.92153304
LINE,268.887644279172,-89.93188224
LINE,269.477883162896,-89.94143704
LINE,270.06812204662,-89.95019264
LINE,270.658360930344,-89.95815
LINE,271.248599814068,-89.96531584
LINE,271.838838697792,-89.97170264
LINE,272.429077581516,-89.97732864
LINE,273.019316465241,-89.98221784
LINE,273.609555348965,-89.9864
LINE,274.199794232689,-89.98991064
LINE,274.790033116413,-89.99279104
LINE,275.380272000137,-89.99508824
LINE,275.970510883861,-89.99685504
LINE,276.560749767585,-89.99815
LINE,277.150988651309,-89.99903744
LINE,277.741227535034,-89.99958744
LINE,278.331466418758,-89.99987584
LINE,278.921705302482,-89.99998424
LINE,279.511944186206,-90
LINE,280.011944186206,-90
LINE,501,-90
